report_date,orders_all_np,AffiliatesAll_spend,DisplayAll_spend,SEMConversionXX_spend,SEMConversionOther_spend,SocialEngagement_spend,SocialConversion_spend,VideoEngagement_spend,VideoConversion_spend,VideoConversionPMAX_spend,OTTall_spend,TVall_spend,organic_seo_non_brand_clicks,organic_email_sends,covid_Q1_22,covid_Q2_22,search_terms_xxxx_core_brand_terms_searches,gcr_per_order_overall_ssl_avg_7d,gcr_per_order_overall_dom_protection_avg_7d,gcr_per_order_overall_dom_registration_avg_7d,gcr_per_order_overall_dom_marketplace_avg_7d,gcr_per_order_overall_o365_avg_7d,brand_tracker_gen_pop_describes_xxxx_aligns_values_lag_2qtr,brand_tracker_gen_pop_unaided_awareness_domains_web_hosting_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_brand_trust_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_proud_to_use_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_aligns_values_lag_3qtr,brand_tracker_gen_pop_aided_awareness_lag_1qtr,cli,market_share_xxxx_net_adds_total_pct
2021-11-08,1915,4833.716,4261.5193,2987,12437.94,196.81,2113.28005,1147.90779,1227.13284,0,1700.03,19402.92714,603,149351,0,0,67.93754246,166.0349343,15.910404,20.84002871,310.3382463,44.89362557,0.221390034,0.42360199,0.236577432,0.255661218,0.222528091,0.727107305,103.0007,36.3
2021-11-09,2056,3234.754,4206.93815,2940.11,13369.56,189.58002,2162.3601,1139.46996,3728.009,0,1940.84,10152.49443,566,84601,0,0,67.29285566,171.1855813,16.13693671,21.19186857,301.8093177,44.37449114,0.221382599,0.423541533,0.236587269,0.255645917,0.222530698,0.726953519,103.0007,40.3
2021-11-10,1922,3730.991,4069.25736,2717.34,12410.01,189.59004,2334.31021,1153.34625,3741.64896,0,1577.12,10474.88484,475,100925,0,0,65.77748624,174.1072301,16.10459257,20.906626,282.1810439,44.49250843,0.221376134,0.423482576,0.23660461,0.255630884,0.222532947,0.726792789,103.0007,40.8
2021-11-11,1849,3177.822,3893.08974,2659.19,12434.59,197.08002,2083.08021,1157.73799,3725.74836,0,1092.1,31996.0256,497,116113,0,0,61.22279555,182.0420799,16.395199,20.52948471,308.5605677,45.26001729,0.221370646,0.4234251,0.236629361,0.255616156,0.222534834,0.726625198,103.0007,40.5
2021-11-12,1682,1919.653,3543.76761,2413.82,10972.22,191.32,2190.79011,1156.11701,3727.22712,0,986.82,10328.48345,457,79721,0,0,57.05202184,182.7878177,16.51295329,20.79181086,288.3919963,45.88072171,0.22136614,0.423369085,0.23666142,0.255601773,0.222536359,0.726450834,103.0007,43.9
2021-11-13,1212,2661.983,2963.72387,2027.73,8983.6,193.17999,2218.42005,1156.57201,3723.23191,0,1164.65,7735.11928,311,47388,0,0,39.54775109,169.0711759,16.56676286,20.22366043,247.0193773,46.69969629,0.221362621,0.423314512,0.236700682,0.255587773,0.22253752,0.726269792,103.0007,43.8
2021-11-14,1320,2409.589,3276.25426,2240.38,9119.1,201.88,2050.65003,1156.46415,3721.02799,0,1222.79,10817.17359,416,47191,0,0,42.77761603,171.6294876,16.63400086,20.264142,315.5993773,47.35946871,0.221360093,0.423261357,0.236747035,0.255574194,0.222538317,0.726082175,103.0007,45.9
2021-11-15,1960,3492.937,3799.31635,3048.8,11944.16,194.07001,2128.63005,1151.34278,3717.08997,0,1235.99,11920.0168,522,172562,0,0,69.49886406,170.3320577,16.59587657,20.936571,354.3528571,47.31687271,0.221358557,0.423209598,0.236800361,0.255561077,0.222538749,0.725888089,103.0007,40.7
2021-11-16,1923,3309.864,3727.8072,3029.22,11495.26,190.80001,2412.18005,1153.23625,3758.13879,0,1048.07,16688.50526,492,96348,0,0,69.86917077,161.8298636,16.08392957,20.79910329,346.0822321,47.30988257,0.221358014,0.423159209,0.236860537,0.25554846,0.222538816,0.725687649,103.0007,41.7
2021-11-17,1839,2455.772,3508.32731,2704.49,11441.9,190.37,2373.03001,1153.74841,3745.57951,0,1248.01,18914.30769,560,122144,0,0,65.68436585,164.9119137,16.366574,21.33515729,329.4060417,47.21194,0.221358463,0.423110164,0.236927435,0.255536383,0.222538519,0.725480975,103.0007,37.8
